matchid,team,innings,remaining_overs,remaining_wickets,runs.total
1000887,Australia,1,50,9,0
1000887,Australia,1,50,8,0
1000887,Australia,1,50,7,0
1000887,Australia,1,50,6,0
1000887,Australia,1,50,6,1
1000887,Australia,1,50,5,0
1000887,Australia,1,50,4,0
1000887,Australia,1,49,3,0
1000887,Australia,1,49,3,1
1000887,Australia,1,49,2,0
1000887,Australia,1,49,1,0
1000887,Australia,1,49,0,0
1000887,Australia,1,49,-1,0
1000887,Australia,1,48,-1,1
1000887,Australia,1,48,-2,0
1000887,Australia,1,48,-2,1
1000887,Australia,1,48,-2,1
1000887,Australia,1,48,-3,0
1000887,Australia,1,48,-4,0
1000887,Australia,1,47,-5,0
1000887,Australia,1,47,-6,0
1000887,Australia,1,47,-6,1
1000887,Australia,1,47,-6,4
1000887,Australia,1,47,-6,1
1000887,Australia,1,47,-7,0
1000887,Australia,1,46,-7,1
1000887,Australia,1,46,-7,1
1000887,Australia,1,46,-8,0
1000887,Australia,1,46,-9,0
1000887,Australia,1,46,-10,0
1000887,Australia,1,46,-11,0
1000887,Australia,1,45,-11,1
1000887,Australia,1,45,-11,1
1000887,Australia,1,45,-11,1
1000887,Australia,1,45,-11,4
1000887,Australia,1,45,-11,1
1000887,Australia,1,45,-12,0
1000887,Australia,1,45,-13,0
1000887,Australia,1,44,-14,0
1000887,Australia,1,44,-15,0
1000887,Australia,1,44,-15,1
1000887,Australia,1,44,-15,3
1000887,Australia,1,44,-16,0
1000887,Australia,1,44,-17,0
1000887,Australia,1,43,-17,6
1000887,Australia,1,43,-17,1
1000887,Australia,1,43,-17,2
1000887,Australia,1,43,-18,0
1000887,Australia,1,43,-18,4
1000887,Australia,1,43,-19,0
1000887,Australia,1,42,-19,1
1000887,Australia,1,42,-19,1
1000887,Australia,1,42,-19,4
1000887,Australia,1,42,-19,4
1000887,Australia,1,42,-19,4
1000887,Australia,1,42,-20,0
1000887,Australia,1,42,-21,0
1000887,Australia,1,41,-22,0
1000887,Australia,1,41,-23,0
1000887,Australia,1,41,-23,4
1000887,Australia,1,41,-23,4
1000887,Australia,1,41,-24,0
1000887,Australia,1,41,-24,1
1000887,Australia,1,40,-24,1
1000887,Australia,1,40,-25,0
1000887,Australia,1,40,-26,0
1000887,Australia,1,40,-27,0
1000887,Australia,1,40,-28,0
1000887,Australia,1,40,-29,0
1000887,Australia,1,39,-29,1
1000887,Australia,1,39,-29,1
1000887,Australia,1,39,-30,0
1000887,Australia,1,39,-31,0
1000887,Australia,1,39,-32,0
1000887,Australia,1,39,-32,1
1000887,Australia,1,38,-33,0
